id,kpi,category,accountabilities,headline,period,value,unit,target,amber,target_agreed,status,trend,cadence,measured_by
K1.1,DIL Control-System Availability,Simulator Reliability & Availability,A1,True,2026-08,97.91666666666666,%,98,95,True,watch,flat,"Logged per session, rolled up monthly and quarterly.","Per-session log of scheduled vs productive minutes, with a disruption cause on every loss."
K1.2,Control-Attributable Session Loss,Simulator Reliability & Availability,A1,False,2026-Q3,11.0,sessions/qtr,1,3,True,off-target,improving,"Per session; reviewed monthly, targeted quarterly.","Count of control-attributable disruptions, with every loss root-caused into a category."
K1.3,Control-Fault MTBF / MTTR,Simulator Reliability & Availability,A1,False,2026-Q3,18.963636363636365,h,40,25,True,off-target,improving,Monthly; targeted quarterly.,Operational hours and fault counts from the session log; restore time captured per fault.
K2.1,Release First-Time-Pass Rate,SECU Release Quality & Cadence,A2,True,2026-Q3,100.0,%,95,88,True,on-target,flat,Per release / per event.,"Release register: one row per package, flagged for session-day intervention or rollback."
K2.2,Escaped-Defect Rate & Detection Efficiency,SECU Release Quality & Cadence,A2,True,2026-Q3,98.48484848484848,%,90,80,True,on-target,improving,Per event; trended quarterly.,"Every defect tagged found-before or found-after release, with severity."
K2.3,Release Lead Time & Readiness Buffer,SECU Release Quality & Cadence,A2,False,2026-Q3,100.0,%,100,85,True,on-target,flat,Per release.,Timestamps from ticket or spec-freeze to validated-package Git tag; buffer measured against the event date.
K2.4,HIL Regression Pass Rate & Automated Coverage,SECU Release Quality & Cadence,A2 A5,False,2026-Q3,99.83361064891847,%,100,95,True,watch,flat,Per release; coverage reviewed quarterly.,dSPACE AutomationDesk pass/fail logs parsed per release; coverage from the function register.
K3.1,In-Session Fault Resolution Time,Fault Diagnosis & Turnaround,A3 A7,True,2026-08,11.5,min,15,30,True,on-target,worsening,Per session; monthly trend.,"Session log timestamps, segmented by fault class so the playbook can target the worst class."
K3.2,Root-Cause Closure Rate,Fault Diagnosis & Turnaround,A7,False,2026-08,100.0,%,90,75,True,on-target,flat,Monthly.,Ticket system with a mandatory root-cause field and an SLA clock.
K3.3,Fault Recurrence Rate,Fault Diagnosis & Turnaround,A7,False,2026-Q3,0.0,%,5,12,True,on-target,improving,Quarterly.,Linked or duplicate tickets against the original fault ID.
K4.1,DIL-vs-Car Configuration Alignment,System Familiarity & Model Fidelity,A4 A6,True,2026-08,100.0,%,99,95,True,on-target,flat,Per baseline update; monthly rollup.,Automated diff of DIL vs car configuration exports; a difference counts as aligned only if it is deliberately documented.
K4.2,Baseline Currency,System Familiarity & Model Fidelity,A4 A6,False,2026-Q3,9.0,d,14,28,True,on-target,improving,Per release.,"Date of car release compared with date DIL baseline updated, per release."
K4.3,Model & Requirements Test Coverage,System Familiarity & Model Fidelity,A4 A5,False,2026-Q3,93.81666666666668,%,90,75,True,on-target,improving,Per model change; quarterly rollup.,"Simulink Coverage cumulative reports, aggregated across models under remit."
K5.1,DIL-vs-Car Difference Catalogue Completeness,Documentation & Knowledge Bridging,A6,True,2026-08,93.75,%,95,80,True,watch,improving,Monthly build-up; quarterly audit.,Documented differences over differences identified in periodic audits.
K5.2,Documentation Freshness,Documentation & Knowledge Bridging,A6,False,2026-Q3,89.65517241379311,%,90,75,True,watch,improving,Quarterly.,"Platform last-reviewed timestamps, 90-day window."
K5.3,Procedure / SOP Coverage,Documentation & Knowledge Bridging,A6,False,2026-Q3,94.11764705882352,%,100,80,True,watch,improving,Quarterly.,SOP register reviewed against the procedure inventory.
K6.1,Stakeholder Satisfaction (360-style),Communication & Stakeholder Satisfaction,A3 A7,True,2026-Q3,4.25,/5,4.0,3.5,True,on-target,improving,"Quarterly, or per major event block.","Anonymous 3–5 question survey per group, aggregated as the mean of group means so no group dominates."
K6.2,Simulator Fidelity Confidence,Communication & Stakeholder Satisfaction,A3 A4,False,2026-Q3,4.1499999999999995,/5,4.0,3.5,True,on-target,improving,Per event block; quarterly rollup.,Survey item paired with an ATLAS-derived delta on selected channels.
K6.3,Debrief Contribution & Turnaround,Communication & Stakeholder Satisfaction,A3,False,2026-08,100.0,%,100,90,True,on-target,flat,Per session.,Structured post-session debrief template with a due time and a usefulness rating from the receiving engineer.
K7.1,Development Delivery Rate,Technical Development & Tooling,A5,False,2026-Q3,66.66666666666666,%,80,60,True,watch,worsening,Quarterly.,"OKR-style: 2–3 focus items per quarter, committed with the manager at the start of the cycle."
K7.2,Operator-Effort / Setup-Time Reduction,Technical Development & Tooling,A5,False,2026-Q3,42.10526315789473,%,20,10,True,on-target,improving,Per tool; quarterly rollup.,"Before/after setup timing on the same procedure, plus configuration-error counts."
K7.3,CSG Cross-Task Contribution,Technical Development & Tooling,A8,False,2026-Q3,4.0,tasks/qtr,3,1,True,on-target,improving,Quarterly.,"A simple log of cross-group tasks and their outcomes — count is the prompt, the outcomes are the substance."
